"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"DB","Registering Property  Reliability of infrastructure index 08 DB1618 methodology","Total","Registering Property  Reliability of infrastructure index 08 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  Quality of land administration index 030 DB1718 methodology","Total","Registering Property  Quality of land administration index 030 DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  Quality of land administration index 030 DB16 methodology","Total","Registering Property  Quality of land administration index 030 DB16 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  Cost % of property value","Total","Registering Property  Cost % of property value","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  Time days","Total","Registering Property  Time days","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  Procedures number","Total","Registering Property  Procedures number","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  DTF  Registering property
DB0515 methodology","Total","Registering Property  DTF  Registering property
DB0515 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  DTF  Registering property
DB16 methodology","Total","Registering Property  DTF  Registering property
DB16 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  DTF  Registering property
DB1718 methodology","Total","Registering Property  DTF  Registering property
DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Rank  Registering property
DB18","Total","Rank  Registering property
DB18","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  Communication of tariffs and tariff changes 01 DB1618 methodology","Total","Getting Electricity  Communication of tariffs and tariff changes 01 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  Financial deterrents aimed at limiting outages 01 DB1618 methodology","Total","Getting Electricity  Financial deterrents aimed at limiting outages 01 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Electricity  Regulatory monitoring 01 DB1618 methodology","Total","Getting Electricity  Regulatory monitoring 01 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
