"","Indicator","dataset","iso3","subset","year","group","question","answer","value","Indicator_Id"
"21313","Electoral Democracies-FH-Total","FH","COL","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21314","Electoral Democracies-FH-Total","FH","COM","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21315","Electoral Democracies-FH-Total","FH","CRI","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21316","Electoral Democracies-FH-Total","FH","CIV","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21317","Electoral Democracies-FH-Total","FH","HRV","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21318","Electoral Democracies-FH-Total","FH","CUB","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21319","Electoral Democracies-FH-Total","FH","CYP","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21320","Electoral Democracies-FH-Total","FH","CZE","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21321","Electoral Democracies-FH-Total","FH","DNK","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21322","Electoral Democracies-FH-Total","FH","DJI","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21323","Electoral Democracies-FH-Total","FH","DMA","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21324","Electoral Democracies-FH-Total","FH","DOM","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21325","Electoral Democracies-FH-Total","FH","ECU","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21326","Electoral Democracies-FH-Total","FH","EGY","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21327","Electoral Democracies-FH-Total","FH","SLV","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21328","Electoral Democracies-FH-Total","FH","GNQ","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21329","Electoral Democracies-FH-Total","FH","ERI","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21330","Electoral Democracies-FH-Total","FH","EST","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21331","Electoral Democracies-FH-Total","FH","ETH","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21332","Electoral Democracies-FH-Total","FH","FJI","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21333","Electoral Democracies-FH-Total","FH","FIN","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21334","Electoral Democracies-FH-Total","FH","FRA","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21335","Electoral Democracies-FH-Total","FH","GAB","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21336","Electoral Democracies-FH-Total","FH","GMB","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21337","Electoral Democracies-FH-Total","FH","GEO","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21338","Electoral Democracies-FH-Total","FH","DEU","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21339","Electoral Democracies-FH-Total","FH","GHA","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21340","Electoral Democracies-FH-Total","FH","GRC","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21341","Electoral Democracies-FH-Total","FH","GRD","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21342","Electoral Democracies-FH-Total","FH","GTM","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21343","Electoral Democracies-FH-Total","FH","GIN","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21344","Electoral Democracies-FH-Total","FH","GNB","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21345","Electoral Democracies-FH-Total","FH","GUY","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21346","Electoral Democracies-FH-Total","FH","HTI","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21347","Electoral Democracies-FH-Total","FH","HND","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21348","Electoral Democracies-FH-Total","FH","HUN","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21349","Electoral Democracies-FH-Total","FH","ISL","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21350","Electoral Democracies-FH-Total","FH","IND","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21351","Electoral Democracies-FH-Total","FH","IDN","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21352","Electoral Democracies-FH-Total","FH","IRN","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21353","Electoral Democracies-FH-Total","FH","IRQ","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21354","Electoral Democracies-FH-Total","FH","IRL","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21355","Electoral Democracies-FH-Total","FH","ISR","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21356","Electoral Democracies-FH-Total","FH","ITA","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21357","Electoral Democracies-FH-Total","FH","JAM","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21358","Electoral Democracies-FH-Total","FH","JPN","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21359","Electoral Democracies-FH-Total","FH","JOR","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21360","Electoral Democracies-FH-Total","FH","KAZ","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21361","Electoral Democracies-FH-Total","FH","KEN","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21362","Electoral Democracies-FH-Total","FH","KIR","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21363","Electoral Democracies-FH-Total","FH","KWT","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21364","Electoral Democracies-FH-Total","FH","KGZ","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21365","Electoral Democracies-FH-Total","FH","LAO","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21366","Electoral Democracies-FH-Total","FH","LVA","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21367","Electoral Democracies-FH-Total","FH","LBN","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21368","Electoral Democracies-FH-Total","FH","LSO","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21369","Electoral Democracies-FH-Total","FH","LBR","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21370","Electoral Democracies-FH-Total","FH","LBY","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21371","Electoral Democracies-FH-Total","FH","LIE","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21372","Electoral Democracies-FH-Total","FH","LTU","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
